filename,execution_time_microsecond,memory_usage_kb,status,error
add.py,1345.2000000000187,276.0,success,
add_elements.py,2754.8000000000015,268.0,success,
all_prefixes.py,10177.599999999995,784.0,success,
anti_shuffle.py,5096.500000000004,152.0,success,
any_int.py,1049.2,148.0,success,
below_threshold.py,678.7000000000043,136.0,success,
below_zero.py,735.7999999999948,280.0,success,
bf.py,972.2999999999954,60.0,success,
by_length.py,3258.6000000000004,388.0,success,
can_arrange.py,1012.2999999999938,152.0,success,
car_race_collision.py,54.49999999999899,4.0,success,
change_base.py,1058.1000000000063,68.0,success,
check_dict_case.py,855.700000000001,132.0,success,
check_if_last_char_is_a_letter.py,851.6999999999969,84.0,success,
choose_num.py,755.8999999999899,76.0,success,
circular_shift.py,933.7999999999985,84.0,success,
closest_integer.py,941.1000000000003,88.0,success,
common.py,3057.6999999999966,404.0,success,
compare.py,1816.8999999999962,408.0,success,
compare_one.py,1529.9000000000008,64.0,success,
concatenate.py,663.0999999999998,276.0,success,
correct_bracketing.py,3256.4999999999955,52.0,success,
count_distinct_characters.py,1528.2000000000073,116.0,success,
count_nums.py,12811.799999999997,352.0,success,
count_upper.py,3523.299999999993,72.0,success,
count_up_to.py,42896.89999999999,616.0,success,
cycpattern_check.py,6926.7999999999965,92.0,success,
decimal_to_binary.py,413.20000000000243,4.0,success,
decode_cyclic.py,15022.899999999992,124.0,success,
decode_shift.py,9183.400000000009,188.0,success,
derivative.py,1669.0000000000039,304.0,success,
digits.py,1345.3000000000077,20.0,success,
digitSum.py,7522.500000000002,112.0,success,
double_the_difference.py,2615.199999999998,276.0,success,
do_algebra.py,3036.200000000003,88.0,success,
eat.py,1024.3000000000059,212.0,success,
encode.py,21400.199999999993,136.0,success,
encrypt.py,7939.000000000002,156.0,success,
even_odd_count.py,303.70000000000397,4.0,success,
even_odd_palindrome.py,15840.199999999999,4.0,success,
exchange.py,2158.999999999994,260.0,success,
f.py,1304.2999999999943,88.0,success,
factorize.py,161345.40000000002,20.0,success,
fib.py,76.40000000000424,4.0,success,
fib4.py,2581.0,4.0,success,
fibfib.py,151.19999999999024,4.0,success,
file_name_check.py,5358.2999999999965,128.0,success,
filter_by_prefix.py,1706.399999999997,244.0,success,
filter_by_substring.py,279.7999999999967,88.0,success,
filter_integers.py,1912.4000000000085,276.0,success,
find_closest_elements.py,1690.099999999986,256.0,success,
find_max.py,2073.9000000000037,232.0,success,
find_zero.py,89240.5,224.0,success,
fix_spaces.py,3754.1999999999994,164.0,success,
fizz_buzz.py,1465214.3,4.0,success,
flip_case.py,4711.400000000004,172.0,success,
fruit_distribution.py,570.3999999999987,8.0,success,
